description,Department
urgent position travel executive saanewaal location ludhiananbspfemale candiadtes applynbsppost travel support executiveexp yearssalarykmonthjob detailexcellent communication skillsknowledge excel word airport code culture plusatleast yr experience localnbsp marketability perform different scope consulting project travel industry business operating strategy implementation process transformation customer relationship management digital strategy implementation posse excellent communication written oral skill excellent presentation skill comfortable working highest level client organization comfortable functioning broadly positioned highly diverse consulting firm excellent team work ability work distributed delivery environmentintrested call aditya kumar mail travel support executive travel executive saanewaal location,Customer service
dear candidategreetings continental immigrationimmediate opening immigration consultantlocation nehru place new delhipackage best industryexperience minimum monthsjob timing job descriptioninterested candidate send cv call management counselling bdm sale business development crm sale manager client relationship immigration immigration consultant,Sales
urgent poitions ticketing executive tour travel pacakge company saanewal locationpost ticketing executivetravel executiveexp yerassalary klocation saanewaal roadludhianathse candiadtes staying near apply prior doraha saanewaal dholewalkhanna near candidate applyjob detail ticketing activity issuance reissuance revalidationcancellation refund knowledge gd amadeussabre necessary domastic documenting activity follow ups customer client existing reservationsintrested call aditya kumar mail female consider post ticketing executive tavel company saanewal ludhiana,Ticketing
urgent position travel booking cum client support executive travel company saanewal locationgtroadfor immediate appointment call immediatesame day offer letter issuepost travel booking cum client support executiveexpmonth yearssalary klocation saanewal ludhianagt roadnear airport roadjob detailjob descriptionsend job like coordinating travel request designing costing itinerary domestic international managing visa request international traveler including documentation amp handling global hotel reservation customized tour package handling international package amp online system handling domestic amp ltc package handling query corporate domestic amp outbound tour ensure quality develop new idea marketing activity promote brand meeting hotelier bus vendor regular basis drill better rate sale handle corporate saleinterested candidate call mail travel booking exectiveinhouse cum client support executive,Customer service
experience travel industrywe urgent opening forldquotour amp travelrdquo reputed company south delhiexperience yearssalary klocation south delhiinterested candidate please come office hard copy resume amp photo proof residential proofplease contact male female candidate amp location delhi delhi ncrplease contact atjet point placement raja house nehru placenew delhiph tourism,Ticketing
urgent opening fornbspcustomer care executive rajouri garden location nature business tour amp travel pvt ltdnbspsalary fresher also applynbspcandidate comfortable customer dealing mailing excel basic computer nbspfor query please contact nitin send billing basic computer clint dealing costumer telecalling mailing coordination,Ticketing
need urgent male candidate sale executivenbsp post pharma division company saanewal locationpostnbsp sale cum business development executive travle indsutry saanewalexpyearssalary traveling allowances_incentiveotlocation saanewal ludhiana near bus standnbspjob descriptionsend job like thisprovide client best travel package dealsmaking sale meet corporate client sale best tour travel packagesoffer prompt accurate courteous service clientsassist client reservation transfer changesrespond client question concern billing inquiry highest degree professionalismsecure new client sale retention providing exceptional customer caremust demonstrate enthusiastic salesoriented attitudeexcellent interpersonal verbalwritten communication skillsshould passion work pressureinterested call aditya kumar mail sale cum business development executive travle industry saanewal ludhian,Sales
need urgent marketing head cum corporate comm manager post travel tourism division company saanewal locationpost corportae sale manager travel industry saanewalexpyearssalary kincentivelocation saanewal ludhiana near bus standjob detail selling international destination holiday packagesattending customer query holiday package email phone callsplan describe arrange sell itinerary tour packagesknowledge world geography worldwide holidayspossess high degree integrity sense confidentiality self starter result oriented strong bias action mandatorynbspinterested call aditya kumar mail sale company corporate manager travel,Ticketing
urgent opening female personal assistant delhi amp gurgoan location day working pmreading monitoring responding boss emailnbspanswering call liaising client competentlynbsppreparing correspondence salary query please contact nitin send correspondence personal admininstration good mi report coordinating event office secretory sale management personality,Administration
urgent opening air ticking amp tour package expert rajuori garden delhi locationnbspjob descriptionnbsplooking interested candidate relevant amp rich experience end end inbound international amp national nbsptour packagesshould good knowledge majorly international destinationspreferred candidate good experience designing arranging tour group package creating customizing international amp national tour package according client requirementsresponsible providing detailed travel information customer deal customer query relation holiday packagespreparing package tour presentation corporate clientscoordinating negotiating suppliersuse computerized reservation ticketing system book transportation hotel reservation issue itinerariesmust handson experience galileo amadeus sabre cr computer reservation system booking cancellation generation pnr air bookingsplan sell transportation accommodation insurance travel servicescooperate client determine need advise appropriate destination mode transportation travel date cost accommodationsprovide relevant information brochure publication guide local custom map regulation event etc travelersbook transportation make hotel reservation collect paymentfeesdeal occurring travel problem complaint refundsattend travel seminar remain updated tourism trendsnetwork tour operatorsproven working experience travel agentstrong sale skill commercial awarenessability interact communicate negotiate effectivelypreference would given urgent joinerssalary last hikenbspnbspfor query please contact nitin send cr national pnr sale custom brochure travel planner travel package broc,Ticketing
hello readersuts iso certified entity listed ministry corporate affair company provides bestinclass service travel amp tourism sector across world besides ut envisions providing income opportunity people passionate fulfill dreamsnbspwe offering extra income financial freedom business spare time personal development helping others meeting new people early retirement leave legacy inttravelnbspfor contact shahanafrom departmentnbsp marketing sale marketing management full advertising management work graduate promotion activity part time fresher home sale management,Digital Marketing
dear candidatesgreetings unique travelite servicesuniquetravelite service leading organization tourism industry dealing flightsholidays like vacationhoneymoonfamilypicnicgroup tour customized packageswe searching creative ambitious person part time full time office based well home based job salary weekly monthly basiswe need dedicated male female candidatesnbspwork convenient time earn extra incomeworking hour perfeel free call usbhaumikhr executive marketing research recruitment advertising development full retired business fresher time housewife graduate fresher computer experience internet operator home part work freelancer based,Public Relations 
greeting unique tourism servicesunique travelite servicesis leading organization tourism industry dealing flightsholidays like vacationhoneymoonfamilypicnicgroup tour customized package also list offer also includes hotelsbuses volvosprivate taxiessite seeingtravel guide etcnbspcandidates required promote travel amp tourism behalf unique travelite service among client online well line working promotion referral designated platform organization also responsibility candidate turn lead maximization incomenbspage qualification bar right candidate opportunity exists first come first basiscandidates meeting requirement maynoteplease contact amp working dayshr managermiss salmanbspcontact part work time,Digital Marketing
urgent position required corporate sale executive cum corporate sale profile travel industry saaneaal locationspost corporate sale executiveexpmonth yearssalary klocation ludhiana saanewaalor nearby punjaab locationjob descriptionattending online web query domestic tourssending proposal package tour amp hotel booking preparing itinerary domestic holiday packagesconverting genuine lead businesssales acumen must achieving goalsgood communication skill written verbal nbspmust knowledge domestic package amp destinationsproven track record converting hotel amp package lead businessshould expertise designing itinerary amp costingpleasing personalitybike must profile valid dlintrested call aditya kumar mail corporate sale executive tour travel company saanewal,Sales
hello readerswe unique travelite service ut looking individual promote business internet travel amp tourism part timefull time amp provide customer service people across indiauts iso certified entity listed ministry corporate affair company provides bestinclass service travel amp tourism sector across world besides ut envisions providing income opportunity people passionate fulfill dreamsnbspwe offering day shiftno targetsno callingno product sellingnbsp earn huge weekly income position open people servicebusinesscollege even retiredhousewivesfresher join usmrather hussain executive mcadnet msc geography digital electronics mass hiring graduation communication engineering circuit theory bba mca btech hons computer science teaching geo,Marketing
